dataset,method,train_size,seed,status,method_success,effective_generator,tstr_f1,tstr_balanced_accuracy,tstr_roc_auc,real_train_f1,majority_baseline_f1,tstr_f1_gap_to_real_train,tstr_f1_relative_to_real_train,distribution_distance_mean,numeric_fidelity_distance,categorical_fidelity_distance,target_distribution_distance,target_conditioned_distribution_distance,feature_target_mean_dependency_distance,constraint_violation_rate,duplicate_rate,exact_train_duplicate_rate,primary_generator_rows,fallback_rows,fallback_fraction,repair_fraction,primary_only_rows,primary_only_tstr_f1,primary_only_distribution_distance_mean,ctgan_epochs_used,runtime_seconds
adult,ctgan,100,42,success,True,ctgan,0.03639120545868082,0.488407635352399,0.4454220341697122,0.5502318392581144,0.0,0.5138406337994336,0.06613794924653509,0.13158842475261107,0.2853333333333334,0.09466666666666668,0.036000000000000004,0.24184106742930273,0.05617964007107062,0.0,0.0,0.0,500,0,0.0,0.0,,,,50.0,1.8356170654296875
adult,ctgan_strong,100,42,success,True,ctgan_strong,0.12107788851974899,0.517051716998062,0.5507203582666778,0.5502318392581144,0.0,0.4291539507383654,0.220048859191791,0.12661013722396938,0.27266666666666667,0.06266666666666666,0.028000000000000025,0.24583476708937563,0.08135196927170252,0.0,0.0,0.0,500,0,0.0,0.0,,,,300.0,10.473682880401611
adult,direct_icl,100,42,success,True,llm_direct_rows,0.5114546470478674,0.6769233585957921,0.7475585202552065,0.5502318392581144,0.0,0.038777192210247,0.9295257208987927,0.1465228769945324,0.15,0.14300000000000002,0.22399999999999998,0.1983544838576845,0.022012222604670947,0.0,0.0,0.0,331,169,0.338,0.338,331.0,0.5411224343332854,0.20012819948224933,,495.3884541988373
adult,code_llm,100,42,success,True,llm_generated_code,0.09329674637397099,0.5153617804354277,0.61163478776929,0.5502318392581144,0.0,0.45693509288414336,0.1695589744493237,0.08251749258179258,0.146,0.04466666666666667,0.0020000000000000018,0.20643529128823246,0.051381957428249914,0.0,0.0,0.0,500,0,0.0,0.0,,,,,16.658004999160767
adult,fallback_only,100,42,success,True,schema_independent_fallback,0.006433453960595094,0.4876678236685603,0.317529729703749,0.5502318392581144,0.0,0.5437983852975192,0.011692260428384905,0.08003606123757716,0.134,0.05433333333333335,0.006000000000000005,0.21699468008211176,0.0477330459214786,0.0,0.0,0.0,0,500,1.0,0.0,,,,,0.5251541137695312
adult,ctgan,100,123,success,True,ctgan,0.03708086785009862,0.49555546968618774,0.6317010255163567,0.5554435483870968,0.0,0.5183626805369981,0.06675902161034089,0.1245296962804663,0.32266666666666666,0.09366666666666668,0.0,0.2864444444444445,0.10049832365213968,0.0,0.0,0.0,500,0,0.0,0.0,,,,50.0,2.021048069000244
adult,ctgan_strong,100,123,success,True,ctgan_strong,0.12681436210847977,0.524206286666466,0.49533434201029947,0.5554435483870968,0.0,0.428629186278617,0.22831188241671857,0.09797877120017988,0.22133333333333335,0.061666666666666675,0.006000000000000005,0.2504961401682713,0.08877113802178511,0.0,0.0,0.0,500,0,0.0,0.0,,,,300.0,10.549938917160034
adult,direct_icl,100,123,success,True,llm_direct_rows,0.41946748144914886,0.6138143483750326,0.6714742199217664,0.5554435483870968,0.0,0.1359760669379479,0.7551937234075421,0.14016742811808366,0.13466666666666668,0.15333333333333332,0.214,0.19715527963630128,0.04111862401270362,0.0,0.0,0.0,309,191,0.382,0.382,309.0,0.5091589784730579,0.21119123093230224,,580.5975570678711
adult,code_llm,100,123,success,True,llm_generated_code,0.000855431993156544,0.4963910938765247,0.42267462730516037,0.5554435483870968,0.0,0.5545881163939402,0.0015400880893126892,0.07822310709134227,0.13533333333333333,0.05000000000000001,0.02800000000000001,0.21007546106517827,0.0605943308681425,0.0,0.0,0.0,500,0,0.0,0.0,,,,,15.597477912902832
adult,fallback_only,100,123,success,True,schema_independent_fallback,0.009310198899703767,0.49749689036241285,0.48771348481027105,0.5554435483870968,0.0,0.546133349487393,0.01676173740200751,0.07215141798304596,0.12733333333333333,0.06100000000000002,0.0020000000000000018,0.20698540022069434,0.05546283997927121,0.0,0.0,0.0,0,500,1.0,0.0,,,,,0.3004150390625
adult,ctgan,100,2025,success,True,ctgan,0.015618577887381833,0.49477037631610965,0.47048158970592957,0.5381235461359525,0.0,0.5225049682485706,0.02902414882146028,0.12468427973329872,0.34933333333333333,0.07933333333333333,0.010000000000000009,0.29846491228070177,0.11267962592390957,0.0,0.0,0.0,500,0,0.0,0.0,,,,50.0,1.9921631813049316
adult,ctgan_strong,100,2025,success,True,ctgan_strong,0.08468809073724008,0.5065348556412254,0.6193353306182872,0.5381235461359525,0.0,0.4534354553987124,0.15737666813755133,0.11385434886059753,0.29133333333333333,0.06866666666666665,0.032,0.2631896455217738,0.09798070804448598,0.0,0.0,0.0,500,0,0.0,0.0,,,,300.0,10.632848739624023
adult,direct_icl,100,2025,success,True,llm_direct_rows,0.4679133021674458,0.6456179027597291,0.7482179506217125,0.5381235461359525,0.0,0.07021024396850667,0.8695276494168337,0.12317864126423173,0.11,0.12899999999999998,0.19999999999999998,0.18132996632996634,0.02246856663425482,0.0,0.0,0.0,282,218,0.436,0.436,282.0,0.5358255451713395,0.18138594522006382,,631.6378419399261
adult,code_llm,100,2025,success,True,llm_generated_code,0.05326674989596338,0.5100382415223956,0.5669869186520831,0.5381235461359525,0.0,0.4848567962399891,0.09898609766929986,0.06409477549798329,0.1366666666666667,0.04699999999999999,0.008000000000000007,0.20310429247024245,0.04277452766131165,0.0,0.0,0.0,500,0,0.0,0.0,,,,,18.164777040481567
adult,fallback_only,100,2025,success,True,schema_independent_fallback,0.016908212560386472,0.4916692764770747,0.41354613027515835,0.5381235461359525,0.0,0.521215333575566,0.03142068895107361,0.06193816544176411,0.12466666666666666,0.054,0.0040000000000000036,0.210911525162997,0.04813501059711017,0.0,0.0,0.0,0,500,1.0,0.0,,,,,0.3337099552154541
adult,ctgan,500,42,success,True,ctgan,0.03026481715006305,0.5036197522256961,0.5986638613945292,0.5644329896907216,0.0,0.5341681725406586,0.053619858695088875,0.1319971599993936,0.3106666666666667,0.11200000000000003,0.038000000000000006,0.24668105651643543,0.09912245167838678,0.0,0.0,0.0,500,0,0.0,0.0,,,,50.0,7.58976411819458
adult,ctgan_strong,500,42,success,True,ctgan_strong,0.045454545454545456,0.4946435117035451,0.4080365633173313,0.5644329896907216,0.0,0.5189784442361762,0.0805313408053134,0.13403315975608782,0.3253333333333333,0.060000000000000005,0.07199999999999998,0.279975725705519,0.10521337217431957,0.0,0.0,0.0,500,0,0.0,0.0,,,,300.0,12.075438022613525
adult,direct_icl,500,42,success,True,llm_direct_rows,0.4448051948051948,0.6327322906234276,0.7151660509790837,0.5644329896907216,0.0,0.11962779488552683,0.7880566921662813,0.09366465099717815,0.10933333333333334,0.09966666666666668,0.134,0.1779036215712269,0.038339112810762556,0.0,0.0,0.0,259,241,0.482,0.482,259.0,0.5390946502057613,0.15271767335874287,,643.8264510631561
adult,code_llm,500,42,success,True,llm_generated_code,0.10526315789473684,0.511441151642296,0.5535256093232714,0.5644329896907216,0.0,0.4591698317959848,0.1864936313386205,0.058684473513712476,0.11666666666666665,0.024666666666666674,0.0,0.20279970258522076,0.056122926272078016,0.0,0.0,0.0,500,0,0.0,0.0,,,,,17.597345113754272
adult,fallback_only,500,42,success,True,schema_independent_fallback,0.008329862557267805,0.4944612782134629,0.41770698600289957,0.5644329896907216,0.0,0.5561031271334539,0.014757930010136568,0.05472366857910779,0.102,0.03,0.013999999999999999,0.19045124559309146,0.042657327194652365,0.0,0.0,0.0,0,500,1.0,0.002,,,,,0.4332602024078369
adult,ctgan,500,123,success,True,ctgan,0.02092050209205021,0.4996227896402585,0.5521979578718417,0.6072701354240913,0.0,0.586349633332041,0.034450075628106154,0.11999608313640761,0.24,0.10066666666666664,0.03200000000000003,0.23206937726283988,0.06805357199459831,0.0,0.0,0.0,500,0,0.0,0.0,,,,50.0,7.030518054962158
adult,ctgan_strong,500,123,success,True,ctgan_strong,0.03244058845718597,0.48601304997959793,0.5726162670536775,0.6072701354240913,0.0,0.5748295469669052,0.0534203586918215,0.11562641289569991,0.27066666666666667,0.06733333333333334,0.04400000000000001,0.25601685750130965,0.10452912809890887,0.0,0.0,0.0,500,0,0.0,0.0,,,,300.0,12.037330865859985
adult,direct_icl,500,123,success,True,llm_direct_rows,0.5558370687975054,0.7095427106224512,0.7835539824737107,0.6072701354240913,0.0,0.051433066626585866,0.9153044689235916,0.12740539993906247,0.14266666666666666,0.12966666666666668,0.19199999999999998,0.16045554265569711,0.021456766533799142,0.0,0.0,0.0,308,192,0.384,0.384,308.0,0.5450333832947268,0.18873295174659332,,680.6868171691895
adult,code_llm,500,123,success,True,llm_generated_code,0.017587939698492462,0.49860268684830106,0.46599193581232434,0.6072701354240913,0.0,0.5896821957255988,0.028962299761719393,0.06781172724132496,0.11666666666666665,0.034,0.03800000000000002,0.1897165956191894,0.05116831733430219,0.0,0.0,0.0,499,1,0.002,0.002,,,,,17.69838809967041
adult,fallback_only,500,123,success,True,schema_independent_fallback,0.04251905334937826,0.5003356599856363,0.5459772281182576,0.6072701354240913,0.0,0.564751082074713,0.07001670404833063,0.05966374728691928,0.12,0.03566666666666667,0.0020000000000000018,0.17831186901894036,0.04678074388739451,0.0,0.0,0.0,0,500,1.0,0.0,,,,,0.3454091548919678
adult,ctgan,500,2025,success,True,ctgan,0.0040683482506102524,0.48888887975384976,0.24552716863228818,0.5998522531396208,0.0,0.5957839048890106,0.0067822505113826915,0.1283295867566301,0.31466666666666665,0.081,0.02800000000000001,0.2969401128117669,0.1049898421846518,0.0,0.0,0.0,500,0,0.0,0.0,,,,50.0,7.118638038635254
adult,ctgan_strong,500,2025,success,True,ctgan_strong,0.08763977032336054,0.4681862951814467,0.4403952610565103,0.5998522531396208,0.0,0.5122124828162602,0.1461022607894775,0.10978938174077993,0.22399999999999998,0.052,0.06200000000000003,0.23079851060514125,0.06607960944242733,0.0,0.0,0.0,500,0,0.0,0.0,,,,300.0,12.055177927017212
adult,direct_icl,500,2025,success,True,llm_direct_rows,0.5519044062733384,0.7084316650025436,0.7801934615774773,0.5998522531396208,0.0,0.047947846866282395,0.9200672388653642,0.12973489681048397,0.124,0.12400000000000001,0.22199999999999998,0.17290525461554068,0.0302645979453605,0.0,0.0,0.0,280,220,0.44,0.44,280.0,0.5053777374627446,0.1966941254699472,,690.5404260158539
adult,code_llm,500,2025,success,True,llm_generated_code,0.10026585643752374,0.5132242761444188,0.5501475702327807,0.5998522531396208,0.0,0.49958639670209704,0.1671509207687947,0.06691190112357057,0.14333333333333334,0.03366666666666668,0.0020000000000000018,0.19206760466712425,0.049690874877606865,0.0,0.0,0.0,500,0,0.0,0.0,,,,,19.039961099624634
adult,fallback_only,500,2025,success,True,schema_independent_fallback,0.04822908816880181,0.4919102623226267,0.44770142318569056,0.5998522531396208,0.0,0.551623164970819,0.08040161209092946,0.06779957559005403,0.13266666666666668,0.039,0.0040000000000000036,0.2068210923806297,0.057719724956150076,0.0,0.0,0.0,0,500,1.0,0.002,,,,,0.52394700050354
pima,ctgan,100,42,success,True,ctgan,0.49635036496350365,0.5698148148148148,0.5887037037037037,0.4842105263157895,0.0,-0.012139838647714174,1.025071405902888,0.21729650151057708,0.33925,,0.15000000000000002,0.3708901098901099,0.10436217271022331,0.0,0.0,0.0,500,0,0.0,0.0,,,,50.0,2.091642141342163
pima,ctgan_strong,100,42,success,True,ctgan_strong,0.13114754098360656,0.5220370370370371,0.5796296296296296,0.4842105263157895,0.0,0.35306298533218294,0.270848182466144,0.18013024151622337,0.28,,0.092,0.3026972368765538,0.06709964785281589,0.0,0.0,0.0,500,0,0.0,0.0,,,,300.0,9.914025068283081
pima,direct_icl,100,42,success,True,llm_direct_rows,0.5306122448979592,0.6507407407407407,0.7168518518518519,0.4842105263157895,0.0,-0.04640171858216974,1.095829636202307,0.14756558247835208,0.244,,0.11200000000000002,0.25724591393736373,0.057782137960581806,0.0,0.0,0.0,500,0,0.0,0.0,500.0,0.5306122448979592,0.14756558247835208,,494.72484612464905
pima,code_llm,100,42,success,True,llm_generated_code,0.06779661016949153,0.5035185185185185,0.4035185185185185,0.4842105263157895,0.0,0.41641391614629797,0.1400147383935151,0.10517255014859277,0.122,,0.013999999999999985,0.19990339103667418,0.03764515899204331,0.0,0.0,0.0,500,0,0.0,0.0,,,,,16.840968370437622
pima,fallback_only,100,42,success,True,schema_independent_fallback,0.5,0.6264814814814815,0.7544444444444445,0.4842105263157895,0.0,-0.01578947368421052,1.0326086956521738,0.10014997647688832,0.10525000000000001,,0.027999999999999997,0.11856691147764636,0.008104303223485407,0.0,0.0,0.0,0,500,1.0,0.0,,,,,1.6441571712493896
pima,ctgan,100,123,success,True,ctgan,0.48695652173913045,0.5942592592592593,0.5868518518518518,0.5,0.0,0.013043478260869545,0.9739130434782609,0.1889007598585135,0.3015,,0.11200000000000002,0.32655157729507167,0.09210473464654637,0.0,0.0,0.0,500,0,0.0,0.0,,,,50.0,2.0820460319519043
pima,ctgan_strong,100,123,success,True,ctgan_strong,0.41237113402061853,0.5701851851851851,0.6688888888888889,0.5,0.0,0.08762886597938147,0.8247422680412371,0.15227390032222068,0.20350000000000001,,0.096,0.2424171870366282,0.0532596402544358,0.0,0.0,0.0,500,0,0.0,0.0,,,,300.0,10.060642957687378
pima,direct_icl,100,123,success,True,llm_direct_rows,0.4444444444444444,0.6051851851851852,0.7442592592592593,0.5,0.0,0.05555555555555558,0.8888888888888888,0.14392609587551447,0.23275,,0.10400000000000001,0.2438991625114973,0.04940322916589589,0.0,0.0,0.0,499,1,0.002,0.002,499.0,0.46153846153846156,0.14444116705389773,,494.1982877254486
pima,code_llm,100,123,success,True,llm_generated_code,0.16129032258064516,0.5312962962962963,0.6475925925925927,0.5,0.0,0.33870967741935487,0.3225806451612903,0.0918409902208699,0.126,,0.0040000000000000036,0.2071312715026311,0.04198809383958825,0.0,0.0,0.0,500,0,0.0,0.0,,,,,15.860689163208008
pima,fallback_only,100,123,success,True,schema_independent_fallback,0.45161290322580644,0.6044444444444445,0.7348148148148147,0.5,0.0,0.04838709677419356,0.9032258064516129,0.09227203817656536,0.11,,0.008000000000000007,0.13137677816709822,0.01703353376381686,0.0,0.0,0.0,0,500,1.0,0.0,,,,,1.3725411891937256
pima,ctgan,100,2025,success,True,ctgan,0.2608695652173913,0.5533333333333333,0.5942592592592593,0.4946236559139785,0.0,0.2337540906965872,0.5274102079395084,0.1819186982826538,0.28975,,0.08600000000000005,0.3159189032224851,0.08301470339464606,0.0,0.0,0.0,500,0,0.0,0.0,,,,50.0,1.8868789672851562
pima,ctgan_strong,100,2025,success,True,ctgan_strong,0.358974358974359,0.48444444444444446,0.4892592592592593,0.4946236559139785,0.0,0.13564929693961952,0.725752508361204,0.1809979486907116,0.2725,,0.088,0.31574802738333185,0.07431664086031277,0.0,0.0,0.0,500,0,0.0,0.0,,,,300.0,10.170846939086914
pima,direct_icl,100,2025,success,True,llm_direct_rows,0.5054945054945055,0.642962962962963,0.7068518518518518,0.4946236559139785,0.0,-0.010870849580526976,1.021978021978022,0.1582350208508966,0.22699999999999998,,0.126,0.24395249732306312,0.058173101133872876,0.0,0.0,0.0,500,0,0.0,0.0,500.0,0.5054945054945055,0.1582350208508966,,488.91156911849976
pima,code_llm,100,2025,success,True,llm_generated_code,0.0,0.5,0.45092592592592595,0.4946236559139785,0.0,0.4946236559139785,0.0,0.1078267629266536,0.1335,,0.006000000000000005,0.19821946700491794,0.0382772218845934,0.0,0.0,0.0,500,0,0.0,0.0,,,,,15.536756992340088
pima,fallback_only,100,2025,success,True,schema_independent_fallback,0.5106382978723404,0.6422222222222222,0.7511111111111112,0.4946236559139785,0.0,-0.016014641958361886,1.032377428307123,0.10089061264134418,0.11624999999999999,,0.015999999999999986,0.13847887088905053,0.015010541850589865,0.0,0.0,0.0,0,500,1.0,0.0,,,,,1.197328805923462
pima,ctgan,500,42,success,True,ctgan,0.3170731707317073,0.5453703703703704,0.49870370370370365,0.5052631578947369,0.0,0.18818998716302954,0.6275406504065041,0.21795068567378592,0.37,,0.11400000000000002,0.39631234433612983,0.11897091904122459,0.0,0.0,0.0,500,0,0.0,0.0,,,,50.0,7.42323112487793
pima,ctgan_strong,500,42,success,True,ctgan_strong,0.4943820224719101,0.5074074074074074,0.5166666666666667,0.5052631578947369,0.0,0.01088113542282676,0.9784644194756553,0.16871709505511742,0.25275,,0.11600000000000002,0.28661507224823624,0.08652690089360292,0.0,0.0,0.0,500,0,0.0,0.0,,,,300.0,11.724393844604492
pima,direct_icl,500,42,success,True,llm_direct_rows,0.4888888888888889,0.6337037037037037,0.7401851851851852,0.5052631578947369,0.0,0.016374269005847986,0.9675925925925926,0.15119344997423756,0.243,,0.11200000000000002,0.26076602334483745,0.061762760207700114,0.0,0.0,0.0,500,0,0.0,0.0,500.0,0.4888888888888889,0.15119344997423756,,487.8433401584625
pima,code_llm,500,42,success,True,llm_generated_code,0.03636363636363636,0.5092592592592593,0.41481481481481486,0.5052631578947369,0.0,0.4688995215311005,0.07196969696969696,0.09806637714762934,0.1205,,0.01999999999999999,0.1838119874472567,0.03701206946634845,0.0,0.0,0.0,500,0,0.0,0.0,,,,,15.62706470489502
pima,fallback_only,500,42,success,True,schema_independent_fallback,0.5,0.637962962962963,0.7527777777777777,0.5052631578947369,0.0,0.0052631578947368585,0.9895833333333333,0.09864984578354254,0.11324999999999999,,0.03599999999999995,0.12610135924456858,0.010912755973127714,0.0,0.0,0.0,0,500,1.0,0.0,,,,,1.320432186126709
pima,ctgan,500,123,success,True,ctgan,0.0967741935483871,0.5027777777777778,0.42055555555555557,0.48936170212765956,0.0,0.3925875085792725,0.19775596072931276,0.18336954279750597,0.28300000000000003,,0.11200000000000002,0.3220198672817647,0.06911929245759987,0.0,0.0,0.0,500,0,0.0,0.0,,,,50.0,7.368926048278809
pima,ctgan_strong,500,123,success,True,ctgan_strong,0.5045045045045045,0.6142592592592593,0.6559259259259259,0.48936170212765956,0.0,-0.0151428023768449,1.0309439874657265,0.14709637844416,0.1685,,0.122,0.2149502738099171,0.04475410349799714,0.0,0.0,0.0,500,0,0.0,0.0,,,,300.0,11.533421039581299
pima,direct_icl,500,123,success,True,llm_direct_rows,0.49504950495049505,0.6214814814814815,0.6835185185185185,0.48936170212765956,0.0,-0.005687802822835486,1.0116229014205769,0.13086165579470144,0.21025000000000002,,0.092,0.24080128363632702,0.0541148185893092,0.0,0.0,0.0,500,0,0.0,0.0,500.0,0.49504950495049505,0.13086165579470144,,497.2697160243988
pima,code_llm,500,123,success,True,llm_generated_code,0.13333333333333333,0.527037037037037,0.644814814814815,0.48936170212765956,0.0,0.3560283687943262,0.27246376811594203,0.09414698255315933,0.1295,,0.0,0.18205477399337144,0.03706574772941358,0.0,0.0,0.0,500,0,0.0,0.0,,,,,15.687839984893799
pima,fallback_only,500,123,success,True,schema_independent_fallback,0.5,0.637962962962963,0.7585185185185186,0.48936170212765956,0.0,-0.010638297872340441,1.0217391304347827,0.09361601561653776,0.11925000000000001,,0.006000000000000005,0.134440769836579,0.016019669186853665,0.0,0.0,0.0,0,500,1.0,0.0,,,,,1.2023398876190186
pima,ctgan,500,2025,success,True,ctgan,0.4305555555555556,0.49203703703703705,0.5327777777777778,0.5052631578947369,0.0,0.07470760233918128,0.8521412037037037,0.21452232172872698,0.33375,,0.138,0.37877400155045016,0.09874546603465567,0.0,0.0,0.0,500,0,0.0,0.0,,,,50.0,7.4066197872161865
pima,ctgan_strong,500,2025,success,True,ctgan_strong,0.14492753623188406,0.4962962962962963,0.41055555555555556,0.5052631578947369,0.0,0.3603356216628528,0.28683574879227053,0.18120212515172318,0.26875000000000004,,0.12000000000000002,0.3034877798323792,0.06890522922838355,0.0,0.0,0.0,500,0,0.0,0.0,,,,300.0,11.667834997177124
pima,direct_icl,500,2025,success,True,llm_direct_rows,0.5,0.6494444444444445,0.7318518518518518,0.5052631578947369,0.0,0.0052631578947368585,0.9895833333333333,0.1270510555431882,0.21575,,0.07600000000000004,0.2446986281693239,0.06363289100137284,0.0,0.0,0.0,488,12,0.024,0.024,488.0,0.4578313253012048,0.12993709631508812,,491.04543900489807
pima,code_llm,500,2025,success,True,llm_generated_code,0.0,0.5,0.4455555555555556,0.5052631578947369,0.0,0.5052631578947369,0.0,0.1019085219923523,0.125,,0.009999999999999981,0.1865095084427514,0.03866082684781637,0.0,0.0,0.0,500,0,0.0,0.0,,,,,15.76938772201538
pima,fallback_only,500,2025,success,True,schema_independent_fallback,0.47191011235955055,0.6244444444444445,0.7485185185185186,0.5052631578947369,0.0,0.03335304553518631,0.9339887640449438,0.09523054933011323,0.11574999999999999,,0.01999999999999999,0.130885546735928,0.014059682948062653,0.0,0.0,0.0,0,500,1.0,0.0,,,,,1.205315113067627
